name	addr:district	amenity	health_facility:level	@lat	@lon
Kagadi Hospital		hospital		0.9420293	30.8095689
Fort Portal Regional Referral		hospital		0.6559732	30.2812868
Virika General		hospital		0.6379499	30.2684644
Bwera General		hospital		0.0475280	29.7765540
Kagando Hospital		hospital		0.0641239	29.8990480
Kilembe General		hospital		0.1947882	30.0147480
Bundibugyo General		hospital		0.7029469	30.0638041
Buhinga Fortportal		hospital		0.6559732	30.2812868
St Paul		hospital		0.1759053	30.0786413
Kabarole COU General		hospital		0.6495430	30.2724657
Kagando		hospital		0.0630548	29.9040688
Rwimi		hospital		0.3830052	30.2157214
St Luke Health Centre III		hospital		0.4637111	30.3095277
Gulu Regional Referral Hospital		hospital		2.7773374	32.2985660
Gulu Military Hospital Health Center IV		hospital		2.7801442	32.2805949
Gulu Independent General		hospital		2.7773374	32.2985660
Lacor Hospital		hospital		2.7744531	32.2991146
St.Mary's Lacor General		hospital		2.7744531	32.2991146
St. Mauritz Health Centre III		hospital		2.8004246	32.3020775
Kalongo Hospital		hospital		3.0384496	33.3738590
Lira Regional Referral		hospital		2.2524889	32.9021045
Lira Hospital		hospital		2.2518951	32.9026222
Lira Medical Centre		hospital		2.2440291	32.9074740
Aber Hospital		hospital		2.2342527	32.3873748
St Joseph's Hospital		hospital		3.2915115	32.8742106
Kitgum General		hospital		3.2945753	32.8816635
Moroto Hospital		hospital		2.5386872	34.6578288
Moroto Regional Referral		hospital		2.5315884	34.6561802
Matany Hospital		hospital		2.4542434	34.2401034
Amudat Hospital		hospital		1.9535229	34.9433128
Kaabong General		hospital		3.5120670	34.1319923
Kabong Hospital		hospital		3.5119735	34.1434586
St. Kizito Hospital		hospital		2.4424940	34.3954149
Soroti Regional Referral		hospital		1.7176546	33.6133464
Ngora Freda Carr General		hospital		1.4773772	33.7942535
Kumi General		hospital		1.9172074	33.9630454
Katakwi General		hospital		1.9178286	33.9618486
Atutur		hospital		1.4008003	34.0084275
Buluba Mission Hospital		hospital		0.4924454	33.3849972
Jinja Regional Referral		hospital		0.4380498	33.2020973
Iganga General		hospital		0.6155022	33.4853947
Bugiri General		hospital		0.5733855	33.7427230
Tororo General		hospital		0.6952649	34.1878363
St. Anthony's Hospital		hospital		0.6839692	34.1798094
St Anthony's Hospital		hospital		0.6836616	34.1799082
Geel Hospital		hospital		0.6922057	34.1779271
Divine Mercy General		hospital		0.7041004	34.1963736
Mbale Regional Referral		hospital		1.0761541	34.1765724
Cure Children's Hospital of Uganda		hospital		1.0740559	34.1717568
Bududa General		hospital		1.0090804	34.3328108
Kumi Orthopaedic General		hospital		1.5275543	33.9762470
Pallisa General		hospital		1.1761322	33.7110114
Mulago National Referral		hospital		0.3389522	32.5768538
Butabika National Referral		hospital		0.3158703	32.6579040
Mengo General		hospital		0.3119587	32.5580626
Nsambya General		hospital		0.3015771	32.5835398
Rubaga		hospital		0.3052671	32.5523740
Kisubi General		hospital		0.1218128	32.5367559
