facility_name,district,level,latitude,longitude
Lukwir Health Centre II,Omoro,HC II,,
Minakulu (Bobi) Health Centre II,Omoro,HC II,,
Odek Health Centre III,Omoro,HC II,,
Ongako Health Centre III,Omoro,HC II,,
Palenga Health Centre II,Omoro,HC II,,
Patuda Health Centre II,Omoro,HC II,,
St. Luke Health Centre II,Omoro,HC II,,
St. Peters Awere Health Centre II,Omoro,HC II,,
Tegot Health Centre II,Omoro,HC II,,
Tekulu Health Centre II,Omoro,HC II,,
Trinity Medical,Omoro,Clinic,,
01 Commaddo HC Health Centre III,Otuke,HC II,,
Acane Health Centre II,Otuke,HC II,,
Alango Health Centre II,Otuke,HC II,,
Aliwang Health Centre III,Otuke,HC II,,
Amunga Health Centre II,Otuke,HC II,,
Anepmoroto Health Centre III,Otuke,HC II,,
Atangwata Health Centre III,Otuke,HC II,,
Ating HC Health Centre II,Otuke,HC II,,
Barjobi Health Centre III,Otuke,HC II,,
Barocok Health Centre II,Otuke,HC II,,
Kritina Health Centre III,Otuke,HC II,,
Ogwete Health Centre II,Otuke,HC II,,
Okwang Health Centre III,Otuke,HC II,,
Okwongo Health Centre III,Otuke,HC II,,
Olilim Health Centre III,Otuke,HC II,,
Oluro Health Centre II,Otuke,HC II,,
Orum Health Centre IV,Otuke,HC IV,,
1 Oyam North HSD Abanya Health Centre II,Oyam,HC II,,
2 Oyam North HSD Abela Health Centre II,Oyam,HC II,,
3 Oyam North HSD Aber General,Oyam,Hospital,,
4 Oyam South HSD Aber Health Centre II,Oyam,HC II,,
5 Oyam South HSD Acimi Health Centre II,Oyam,HC II,,
6 Oyam North HSD Acokara Health Centre II,Oyam,HC II,,
7 Oyam North HSD Acut Health Centre II,Oyam,HC II,,
8 Oyam South HSD Adigo Health Centre II,Oyam,HC II,,
9 Oyam South HSD Adyegi Health Centre II,Oyam,HC II,,
10 Oyam South HSD Aero Medical Center Health Centre II,Oyam,HC II,,
11 Oyam South HSD Agulurude Health Centre III,Oyam,HC II,,
12 Oyam North HSD Akwangi Health Centre II,Oyam,HC II,,
13 Oyam North HSD Alao Health Centre II,Oyam,HC II,,
14 Oyam North HSD Alira Health Centre II,Oyam,HC II,,
15 Oyam North HSD Aloni Health Centre II,Oyam,HC II,,
16 Oyam North HSD Alpha Medical Centre (Oyam) Health Centre II,Oyam,HC II,,
17Oyam South HSD Amaro Medical,Oyam,Clinic,,
18 Oyam South HSD Amwa Health Centre II,Oyam,HC II,,
19 Oyam North HSD Anyeke Health Centre IV,Oyam,HC IV,,
20 Oyam South HSD Apostolic Medical Centre Health Centre II,Oyam,HC II,,
21 Oyam North HSD Ariba Health Centre II,Oyam,HC II,,
22 Oyam North HSD Atipe Health Centre II,Oyam,HC II,,
23 Oyam South HSD Atura Health Centre II,Oyam,HC II,,
24 Oyam South HSD Horizon Medical Centre Health Centre II,Oyam,HC II,,
25 Oyam North HSD Iceme Health Centre II,Oyam,HC II,,
26 Oyam North HSD Iceme Health Centre III,Oyam,HC II,,
27 Oyam South HSD Kamdini Health Centre II,Oyam,HC II,,
28 Oyam South HSD Loro Health Centre II,Oyam,HC II,,
29 Oyam South HSD Loro Prison Health Centre II,Oyam,HC II,,
30 Oyam North HSD Mar en Rwot Health Centre II,Oyam,HC II,,
31 Oyam South HSD Minakulu Health Centre III,Oyam,HC II,,
32 Oyam South HSD Minakulu (Aceno) Health Centre II,Oyam,HC II,,
33 Oyam South HSD Morning Glory Clinic Health Centre II,Oyam,HC II,,
34 Oyam South HSD Multihope Clinic Health Centre II,Oyam,HC II,,
35 Oyam North HSD Ngai Health Centre III,Oyam,HC II,,
36 Oyam North HSD Otwal Health Centre III,Oyam,HC II,,
37 Oyam North HSD Oyam Prisons Health Centre II,Oyam,HC II,,
38 Oyam South HSD Paco Clinic Health Centre III,Oyam,HC II,,
39 Oyam South HSD Santa Maria Health Centre II,Oyam,HC II,,
40 Oyam North HSD Timagi Medical Centre Health Centre III,Oyam,HC II,,
41 Oyam South HSD Zambia Health Centre II,Oyam,HC II,,
1 Aruu (Pajule) HSD 5th Military Division Health Centre IV,Pader,HC IV,,
2 Aruu (Pajule) HSD Acholi-Bur Health Centre III,Pader,HC II,,
3 Aruu (Pajule) HSD Alim Health Centre II,Pader,HC II,,
4 Aruu (Pajule) HSD All Saints Puranga Health Centre II,Pader,HC II,,
5 Aruu (Pajule) HSD Amilobo Health Centre II,Pader,HC II,,
6 Aruu (Pajule) HSD Angagura Health Centre III,Pader,HC II,,
7 Aruu (Pajule) HSD Angole Health Centre II,Pader,HC II,,
8 Aruu (Pajule) HSD Aswa Ranch Health Centre II,Pader,HC II,,
9 Aruu (Pajule) HSD Atanga Health Centre III,Pader,HC II,,
10 Aruu (Pajule) HSD Awere Health Centre III,Pader,HC II,,
11 Aruu (Pajule) HSD Bolo Health Centre II,Pader,HC II,,
12 Aruu (Pajule) HSD Dure Health Centre II,Pader,HC II,,
13 Aruu (Pajule) HSD JAFO Medical Centre,Pader,Clinic,,
14 Aruu (Pajule) HSD Jildo Irwa Health Centre II,Pader,HC II,,
15 Aruu (Pajule) HSD Jowa Medical,Pader,Clinic,,
16 Aruu (Pajule) HSD Kilak Health Centre III,Pader,HC II,,
17 Aruu (Pajule) HSD Labora,Pader,Clinic,,
18 Aruu (Pajule) HSD Lagile Health Centre II,Pader,HC II,,
19 Aruu (Pajule) HSD Laguti Health Centre III,Pader,HC II,,
20 Aruu (Pajule) HSD Lapul Health Centre III,Pader,HC II,,
21 Aruu (Pajule) HSD Lapulocwida Health Centre II,Pader,HC II,,
22 Aruu (Pajule) HSD Latanya Health Centre II,Pader,HC II,,
23 Aruu (Pajule) HSD Latigi Health Centre II,Pader,HC II,,
24 Aruu (Pajule) HSD Lawire Health Centre II,Pader,HC II,,
25 Aruu (Pajule) HSD Lawiyeadul Health Centre II,Pader,HC II,,
26 Aruu (Pajule) HSD Mary Immaculate Health Centre II,Pader,HC II,,
27 Aruu (Pajule) HSD NUMEM Health Care Center,Pader,Clinic,,
28 Aruu (Pajule) HSD Ogago Health Centre II,Pader,HC II,,
29 Aruu (Pajule) HSD Ogom Health Centre III,Pader,HC II,,
30 Aruu (Pajule) HSD Ogonyo Health Centre III,Pader,HC II,,
31 Aruu (Pajule) HSD Oguta Health Centre II,Pader,HC II,,
32 Aruu (Pajule) HSD Okinga Health Centre II,Pader,HC II,,
33 Aruu (Pajule) HSD Oret Health Centre II,Pader,HC II,,
34 Aruu (Pajule) HSD Oryang Health Centre II,Pader,HC II,,
35 Aruu (Pajule) HSD Pader Health Centre III,Pader,HC II,,
36 Aruu (Pajule) HSD Pader Maternity Home,Pader,Clinic,,
37 Aruu (Pajule) HSD Pader Police Clinic Health Centre II,Pader,HC II,,
38 Aruu (Pajule) HSD Paibwor Health Centre II,Pader,HC II,,
39 Aruu (Pajule) HSD Paiula Health Centre II,Pader,HC II,,
40 Aruu (Pajule) HSD Pajule Health Centre IV,Pader,HC IV,,
41 Aruu (Pajule) HSD Pakeyo Health Centre II,Pader,HC II,,
42 Aruu (Pajule) HSD Porogali Health Centre II,Pader,HC II,,
43 Aruu (Pajule) HSD Puranga Health Centre III,Pader,HC II,,
44 Aruu (Pajule) HSD Rackoko Health Centre III,Pader,HC II,,
45 Aruu (Pajule) HSD Ultimate Choice,Pader,Clinic,,
46 Aruu (Pajule) HSD Wipolo Health Centre II,Pader,HC II,,
Adal Health Centre II,Pallisa,HC II,,
Agule Community Health Centre III,Pallisa,HC II,,
Agule Health Centre III,Pallisa,HC II,,
Akisim Health Centre III,Pallisa,HC II,,
Apopong Health Centre III,Pallisa,HC II,,
Butebo Health Centre IV,Pallisa,HC IV,,
Chelekura Health Centre III,Pallisa,HC II,,
Galimagi Health Centre III,Pallisa,HC II,,
Gogonyo Health Centre III,Pallisa,HC II,,
Kaboloi Health Centre III,Pallisa,HC II,,
Kabwangasi Health Centre III,Pallisa,HC II,,
Kachuru Health Centre II,Pallisa,HC II,,
Kadoklene Health Centre II,Pallisa,HC II,,
Kakoro Health Centre III,Pallisa,HC II,,
Kakoro SDA Dispensary Health Centre II,Pallisa,HC II,,
Kameke Health Centre III,Pallisa,HC II,,
Kamuge Health Centre III,Pallisa,HC II,,
Kanginima General,Pallisa,Hospital,,
Kanyumu Health Centre II,Pallisa,HC II,,
Kasodo Health Centre III,Pallisa,HC II,,
Kaukura Health Centre II,Pallisa,HC II,,
Kibale Health Centre III,Pallisa,HC II,,
Limoto Health Centre II,Pallisa,HC II,,
Mpongi Health Centre III,Pallisa,HC II,,
Nagwere Health Centre III,Pallisa,HC II,,
Nasuleta Health Centre II,Pallisa,HC II,,
Obutete Health Centre II,Pallisa,HC II,,
Oladot Health Centre II,Pallisa,HC II,,
Olok Health Centre II,Pallisa,HC II,,
Olok Health Centre III,Pallisa,HC II,,
Opwateta Health Centre III,Pallisa,HC II,,
Pacodet Health Centre III,Pallisa,HC II,,
Pallisa General,Pallisa,Hospital,,
Pallisa Mission Health Centre III,Pallisa,HC II,,
Pallisa Town Council Health Centre III,Pallisa,HC II,,
Putti Health Centre II,Pallisa,HC II,,
St. Stephen Health Centre II,Pallisa,HC II,,
St.richard Health Centre II,Pallisa,HC II,,
Bbaka Health Centre II,Rakai,HC II,,
Bbale-ggunda Health Centre II,Rakai,HC II,,
Bethelem Community Nursing Home,Rakai,Clinic,,
Bethlehem Health Centre II,Rakai,HC II,,
Bitabago Health Centre II,Rakai,HC II,,
Buddu Clinic Health Centre II,Rakai,HC II,,
Bugona Health Centre II,Rakai,HC II,,
Bulamu Bwebugagga Health Centre II,Rakai,HC II,,
Butembe Health Centre II,Rakai,HC II,,
Butiti Health Centre II,Rakai,HC II,,
Buyamba Disp &mu Health Centre III,Rakai,HC II,,
Buyamba Health Centre III,Rakai,HC II,,
Buyiisa Health Centre II,Rakai,HC II,,
Buziranduulu Health Centre II,Rakai,HC II,,
Byakabanda Health Centre III,Rakai,HC II,,
Byerima Health Centre II,Rakai,HC II,,
Divine Grace Health Centre II,Rakai,HC II,,
Gwanda Health Centre II,Rakai,HC II,,
Heal The Nation Health Centre II,Rakai,HC II,,
Kabira (Rakai) Health Centre III,Rakai,HC II,,
Kabusota Health Centre II,Rakai,HC II,,
Kabuwoko Govt Health Centre III,Rakai,HC II,,
Kabuwoko Ngo Health Centre II,Rakai,HC II,,
Kacheera Health Centre III,Rakai,HC II,,
Kagamba Health Centre II,Rakai,HC II,,
Kakundi Health Centre II,Rakai,HC II,,
Kakuuto Health Centre IV,Rakai,HC IV,,
Kaleere Health Centre II,Rakai,HC II,,
Kalisizo General,Rakai,Hospital,,
Kalisizo Police Clinic Health Centre II,Rakai,HC II,,
Kalisizo Prison Clinic Health Centre II,Rakai,HC II,,
Kalisizo-muslim Health Centre II,Rakai,HC II,,
Kasaali Health Centre III,Rakai,HC II,,
Kasankala Health Centre II,Rakai,HC II,,
Kasasa Health Centre III,Rakai,HC II,,
Kasensero Health Centre II,Rakai,HC II,,
Katatenga Health Centre II,Rakai,HC II,,
Kayanja Health Centre II,Rakai,HC II,,
Kayanja Prisons Clinic Health Centre II,Rakai,HC II,,
Kayayumbe Health Centre II,Rakai,HC II,,
Kayonza Ddwaniro Health Centre II,Rakai,HC II,,
Kayonza Kacheera Health Centre II,Rakai,HC II,,
Kibaale Comm. Home Health Centre II,Rakai,HC II,,
Kibaale Health Centre II,Rakai,HC II,,
Kibanda Clinic Health Centre II,Rakai,HC II,,
Kibanda Health Centre III,Rakai,HC II,,
Kibuuka Health Centre II,Rakai,HC II,,
Kifamba Health Centre III,Rakai,HC II,,
Kijejja Health Centre II,Rakai,HC II,,
Kijonjo Health Centre II,Rakai,HC II,,
Kimuli Health Centre III,Rakai,HC II,,
Kirangira Health Centre II,Rakai,HC II,,
Kirumba Health Centre III,Rakai,HC II,,
Kyabigondo Health Centre II,Rakai,HC II,,
Kyakanyomozi Health Centre II,Rakai,HC II,,
Kyakonda Health Centre II,Rakai,HC II,,
Kyakuwa Medical Centre Health Centre II,Rakai,HC II,,
Kyalulangira Health Centre III,Rakai,HC II,,
Kyango Health Centre III,Rakai,HC II,,
Kyebe Health Centre III,Rakai,HC II,,
Kyempewo Health Centre II,Rakai,HC II,,
Kyotera General Clinic Health Centre II,Rakai,HC II,,
Kyotera Med. Centre Health Centre III,Rakai,HC II,,
Kyotera Muslim Health Centre II,Rakai,HC II,,
Lukerere Health Centre II,Rakai,HC II,,
Lwabakooba Health Centre II,Rakai,HC II,,
Lwakalolo Health Centre II,Rakai,HC II,,
Lwamaggwa Govt Health Centre III,Rakai,HC II,,
Lwamaggwa Ngo Health Centre II,Rakai,HC II,,
Lwamba Health Centre II,Rakai,HC II,,
Lwanda Health Centre III,Rakai,HC II,,
Lwankoni Health Centre III,Rakai,HC II,,
Lwembajjo Health Centre II,Rakai,HC II,,
Lwensinga Health Centre II,Rakai,HC II,,
Magabi Health Centre II,Rakai,HC II,,
Mayanja Health Centre II,Rakai,HC II,,
Mbuye Health Centre II,Rakai,HC II,,
Michungiro Health Centre II,Rakai,HC II,,
Minziiro Health Centre II,Rakai,HC II,,
Mirembe Clinic (Mitukula) Health Centre II,Rakai,HC II,,
Mirigwe Health Centre II,Rakai,HC II,,
Mitukula Health Centre III,Rakai,HC II,,
Mukisa Health Services Health Centre II,Rakai,HC II,,
Mutukula Health Centre III,Rakai,HC II,,
Mutukula Prisons Health Centre II,Rakai,HC II,,
Muzito Domiciliary SDA Health Centre II,Rakai,HC II,,
Nabigasa Health Centre III,Rakai,HC II,,
Nabyajjwe Health Centre II,Rakai,HC II,,
Nakasoga Muslim Health Centre II,Rakai,HC II,,
Nakatoogo Health Centre II,Rakai,HC II,,
Nangoma Health Centre II,Rakai,HC II,,
Nazareth Dispensary & MU Health Centre II,Rakai,HC II,,
Ndolo Health Centre II,Rakai,HC II,,
Nkenge Health Centre II,Rakai,HC II,,
Nkoni Dyco Health Centre II,Rakai,HC II,,
Nsumba Health Centre II,Rakai,HC II,,
Premier HCII,Rakai,Clinic,,
Rakai General,Rakai,Hospital,,
Rakai Gayaza Health Centre II,Rakai,HC II,,
Rakai Health Sciences Program,Rakai,Clinic,,
RAKAI Kiziba Health Centre II,Rakai,HC II,,
Serulanda Health Centre II,Rakai,HC II,,
Ssanje Domiciliary Clinic Health Centre III,Rakai,HC II,,
Ssanje Domiciliary,Rakai,Clinic,,
St Martins Domiciliary Health Centre II,Rakai,HC II,,
St. Andrews Biikira Health Centre III,Rakai,HC II,,
St. Bernard Mannya Health Centre III,Rakai,HC II,,
St. Gyavira Domiciliary Health Centre II,Rakai,HC II,,
St. Jude Clinic (Rakai) Health Centre II,Rakai,HC II,,
St. Jude Sanje Health Centre II,Rakai,HC II,,
St. Mugaga Clinic Health Centre II,Rakai,HC II,,
1 Rubanda East HSD Bigungiro Health Centre II,Rubanda,HC II,,
2 Rubanda East HSD Bubare Health Centre III,Rubanda,HC II,,
3 Rubanda West HSD Bufundi Health Centre III,Rubanda,HC II,,
4 Rubanda West HSD Butare Health Centre II,Rubanda,HC II,,
5 Rubanda West HSD Butare NGO Health Centre II,Rubanda,HC II,,
6 Rubanda East HSD Bwindi Health Centre III,Rubanda,HC II,,
7 Rubanda East HSD Green Valley Health Centre II,Rubanda,HC II,,
8 Rubanda East HSD Hakishenyi Health Centre II,Rubanda,HC II,,
9 Rubanda East HSD Hamurwa Health Centre IV,Rubanda,HC IV,,
10 Rubanda West HSD Heal Medical Centre Health Centre II,Rubanda,HC II,,
11 Rubanda West HSD Ihunga (Rubanda) Health Centre II,Rubanda,HC II,,
12 Rubanda West HSD Ikamiro (Rubanda) Health Centre II,Rubanda,HC II,,
13 Rubanda West HSD Ikaniro Health Centre II,Rubanda,HC II,,
14 Rubanda West HSD Ikumba Health Centre III,Rubanda,HC II,,
15 Rubanda West HSD Kaara Health Centre II,Rubanda,HC II,,
16 Rubanda West HSD Kabere Health Centre II,Rubanda,HC II,,
17 Rubanda East HSD Kagarama Health Centre II,Rubanda,HC II,,
18 Rubanda East HSD Kakore Health Centre II,Rubanda,HC II,,
19 Rubanda West HSD Kashasha Health Centre III,Rubanda,HC II,,
20 Rubanda East HSD Kibuzigye Health Centre II,Rubanda,HC II,,
21 Rubanda East HSD Kigazi Health Centre II,Rubanda,HC II,,
22 Rubanda West HSD Kishanje Health Centre II,Rubanda,HC II,,
23 Rubanda West HSD Kiyebe Health Centre II,Rubanda,HC II,,
24 Rubanda West HSD Kyenyi Health Centre II,Rubanda,HC II,,
25 Rubanda East HSD Mpungu Health Centre II,Rubanda,HC II,,
26 Rubanda West HSD Mugyera Health Centre II,Rubanda,HC II,,
27 Rubanda West HSD Muko Health Centre IV,Rubanda,HC IV,,
28 Rubanda West HSD Muko Parish Health Centre III,Rubanda,HC II,,
29 Rubanda West HSD Mushanje Health Centre II,Rubanda,HC II,,
30 Rubanda East HSD Nangara Health Centre II,Rubanda,HC II,,
31 Rubanda West HSD Nyamabare Health Centre II,Rubanda,HC II,,
32 Rubanda West HSD Nyaruhanga Health Centre II,Rubanda,HC II,,
33 Rubanda West HSD Nyaruhanga Health Centre II,Rubanda,HC II,,
34 Rubanda West HSD Rubanda Kagunga Health Centre II,Rubanda,HC II,,
35 Rubanda East HSD Rubanda PHC Health Centre III,Rubanda,HC II,,
36 Rubanda West HSD Ruhija Health Centre II,Rubanda,HC II,,
37 Rubanda West HSD Ruhija Health Centre III,Rubanda,HC II,,
38 Rubanda East HSD Shebeya Health Centre II,Rubanda,HC II,,
Bahamagara Health Centre II,Rubirizi,HC II,,
Butoha Health Centre II,Rubirizi,HC II,,
Family Care Health Centre II,Rubirizi,HC II,,
Kakari Community Health Centre II,Rubirizi,HC II,,
Kashaka Health Centre II,Rubirizi,HC II,,
Katerera Health Centre III,Rubirizi,HC II,,
Katerera Integrted Comm Health Centre II,Rubirizi,HC II,,
Katunguru Health Centre III,Rubirizi,HC II,,
Kazinga (Rubirizi) Health Centre II,Rubirizi,HC II,,
Kicwamba (Rubirizi) Health Centre III,Rubirizi,HC II,,
Kishenyi Health Centre II,Rubirizi,HC II,,
Kyabakara Health Centre II,Rubirizi,HC II,,
Kyenzaza Health Centre II,Rubirizi,HC II,,
Munyonyi Health Centre II,Rubirizi,HC II,,
Mushumba Health Centre II,Rubirizi,HC II,,
Ndagaro Health Centre II,Rubirizi,HC II,,
Queen Elizabeth Health Centre II,Rubirizi,HC II,,
Rugazi Health Centre IV,Rubirizi,HC IV,,
Rugazi Mission Health Centre II,Rubirizi,HC II,,
Rumuri Health Centre II,Rubirizi,HC II,,
Rutoto SDA Dispensary Health Centre II,Rubirizi,HC II,,
St. Charles Health Centre II,Rubirizi,HC II,,
St. Joseph’s Clinic Health Centre II,Rubirizi,HC II,,
Biggaga Health Centre II,Rukungiri,HC II,,
Bikungu Health Centre II,Rukungiri,HC II,,
Bikurungu Health Centre III,Rukungiri,HC II,,
Bucence Health Centre II,Rukungiri,HC II,,
Bugangari Health Centre IV,Rukungiri,HC IV,,
Buhandagazi Health Centre II,Rukungiri,HC II,,
Buhunga Health Centre IV,Rukungiri,HC IV,,
Bunono Health Centre II,Rukungiri,HC II,,
Burama Health Centre II,Rukungiri,HC II,,
Burombe Health Centre II,Rukungiri,HC II,,
Buyanja Health Centre III,Rukungiri,HC II,,
Bwambara Health Centre III,Rukungiri,HC II,,
Bwanda (Rukungiri) Health Centre II,Rukungiri,HC II,,
Bwanga Health Centre II,Rukungiri,HC II,,
Garubunda Health Centre II,Rukungiri,HC II,,
Ibanda Health Centre II,Rukungiri,HC II,,
Ihunga (Rukungiri) Health Centre II,Rukungiri,HC II,,
Kabuga Health Centre II,Rukungiri,HC II,,
Kafunjo Health Centre II,Rukungiri,HC II,,
Kafunjo NGO Health Centre II,Rukungiri,HC II,,
Kahengye Health Centre II,Rukungiri,HC II,,
Kahoko Health Centre II,Rukungiri,HC II,,
Kakamba (Rukungiri) Health Centre II,Rukungiri,HC II,,
24 Rukungiri Municipality HSD Karangaro Health Centre II,Rukungiri,HC II,,
Karuhembe Health Centre II,Rukungiri,HC II,,
Kasheshe Health Centre II,Rukungiri,HC II,,
Katerampungu Health Centre II,Rukungiri,HC II,,
Katonya Health Centre II,Rukungiri,HC II,,
29 Rukungiri Municipality HSD Katwekamwe Health Centre II,Rukungiri,HC II,,
Kebisoni Health Centre IV,Rukungiri,HC IV,,
Kibirizi Health Centre III,Rukungiri,HC II,,
Kikarara Health Centre II,Rukungiri,HC II,,
Kikongi Health Centre II,Rukungiri,HC II,,
Kis,Rukungiri,HC II,,
Kisiizi General,Rukungiri,Hospital,,
36 Rukungiri Municipality HSD Kitimba Health Centre II,Rukungiri,HC II,,
Kitojo NGO Health Centre II,Rukungiri,HC II,,
Kyaburere Health Centre II,Rukungiri,HC II,,
Kyamakanda Health Centre II,Rukungiri,HC II,,
40 Rukungiri Municipality HSD Kyatoko Health Centre II,Rukungiri,HC II,,
Mabanga Health Centre II,Rukungiri,HC II,,
42 Rukungiri Municipality HSD Marumba Health Centre II,Rukungiri,HC II,,
Masya Health Centre II,Rukungiri,HC II,,
Masya NGO Health Centre II,Rukungiri,HC II,,
Mitooma Health Centre II,Rukungiri,HC II,,
Murama (Buhunga) Health Centre II,Rukungiri,HC II,,
Murama Health Centre II,Rukungiri,HC II,,
Ndama Health Centre III,Rukungiri,HC II,,
Ndere Health Centre II,Rukungiri,HC II,,
Ngoma Health Centre II,Rukungiri,HC II,,
51 Rukungiri Municipality HSD North Kigezi Health Centre IV,Rukungiri,HC IV,,
52 Rukungiri Municipality HSD Nyabihinga Health Centre II,Rukungiri,HC II,,
Nyabiteete Health Centre II,Rukungiri,HC II,,
Nyakabungo Health Centre II,Rukungiri,HC II,,
Nyakagyeme Health Centre III,Rukungiri,HC II,,
Nyakanyinya Health Centre II,Rukungiri,HC II,,
Nyakariro Health Centre II,Rukungiri,HC II,,
Nyakazinga Health Centre II,Rukungiri,HC II,,
59 Rukungiri Municipality HSD Nyakibale General,Rukungiri,Hospital,,
Nyakinengo Health Centre II,Rukungiri,HC II,,
Nyakishenyi (NGO) Health Centre III,Rukungiri,HC II,,
Nyakishenyi Health Centre III,Rukungiri,HC II,,
Nyarugando Health Centre II,Rukungiri,HC II,,
Nyarushanje Health Centre III,Rukungiri,HC II,,
Nyarwimuka Health Centre II,Rukungiri,HC II,,
66 Rukungiri Municipality HSD Police Clinic (Rukungiri) Health Centre II,Rukungiri,HC II,,
Rubanga Health Centre II,Rukungiri,HC II,,
Rugando Health Centre II,Rukungiri,HC II,,
Ruhinda Health Centre III,Rukungiri,HC II,,
Rukungiri Burora Health Centre II,Rukungiri,HC II,,
72 Rukungiri Municipality HSD Rukungiri Health Centre IV,Rukungiri,HC IV,,
74 Rukungiri Municipality HSD Rukungiri Prisons Health Centre II,Rukungiri,HC II,,
Rusheeshe Health Centre III,Rukungiri,HC II,,
Ruteete Health Centre II,Rukungiri,HC II,,
Rutooma (Buhunga) Health Centre II,Rukungiri,HC II,,
Ruyonza Health Centre II,Rukungiri,HC II,,
Rwabukoba Health Centre II,Rukungiri,HC II,,
80 Rukungiri Municipality HSD Rwakabengo Health Centre III,Rukungiri,HC II,,
Rwakigaju Health Centre II,Rukungiri,HC II,,
Rwakirungura Health Centre II,Rukungiri,HC II,,
Rwamuhima Health Centre II,Rukungiri,HC II,,
Rwengiri Health Centre III,Rukungiri,HC II,,
Rwenshama Health Centre II,Rukungiri,HC II,,
Rwenshama Health Centre III,Rukungiri,HC II,,
Rwerere Health Centre II,Rukungiri,HC II,,
St.Jancinta Health Centre II,Rukungiri,HC II,,
St.Sabena Health Centre II,Rukungiri,HC II,,
90 Rukungiri Municipality HSD TASO Rukungiri,Rukungiri,Clinic,,
Bamu General,Sembabule,Hospital,,
Bulongo Health Centre II,Sembabule,HC II,,
Busheka (Sembabule) Health Centre II,Sembabule,HC II,,
Dr. Kakungulu Medical centre,Sembabule,Clinic,,
Great Mission of Guma Guma,Sembabule,Clinic,,
Kabundi Health Centre II,Sembabule,HC II,,
Kagango Health Centre II,Sembabule,HC II,,
Kampala Health Centre II,Sembabule,HC II,,
Karushonshomezi Health Centre II,Sembabule,HC II,,
Kasaalu Health Centre II,Sembabule,HC II,,
Katimba Health Centre III,Sembabule,HC II,,
Kayunga Health Centre II,Sembabule,HC II,,
Keizooba Health Centre II,Sembabule,HC II,,
Kibengo (Sembabule) Health Centre II,Sembabule,HC II,,
Kyabi Health Centre III,Sembabule,HC II,,
Kyeera Health Centre II,Sembabule,HC II,,
Life Care,Sembabule,Clinic,,
Lugusulu Health Centre II,Sembabule,HC II,,
Lwebitakuli Gvt Health Centre III,Sembabule,HC II,,
Lwebitakuli Ngo Health Centre III,Sembabule,HC II,,
Lwemiyaga Community,Sembabule,Clinic,,
Lwemiyaga Health Centre III,Sembabule,HC II,,
Makoole Health Centre II,Sembabule,HC II,,
Mateete Health Centre III,Sembabule,HC II,,
Mitete Health Centre II,Sembabule,HC II,,
Mitima Health Centre II,Sembabule,HC II,,
Mwesigwa Medical Centre,Sembabule,Clinic,,
Ntete Health Centre II,Sembabule,HC II,,
Ntuusi Health Centre III,Sembabule,HC II,,
Ntuusi Health Centre IV,Sembabule,HC IV,,
Patience Domiciary Home Health Centre II,Sembabule,HC II,,
Police Clinic (Sembabule) Health Centre II,Sembabule,HC II,,
Sembabule Health Centre IV,Sembabule,HC IV,,
Sembabule Kabaale Health Centre II,Sembabule,HC II,,
Twinomujuni,Sembabule,Clinic,,
Victoria,Sembabule,Clinic,,
Aarapoo Health Centre II,Serere,HC II,,
Apapai Health Centre IV,Serere,HC IV,,
Atiira Health Centre III,Serere,HC II,,
Atiira Medical Centre Health Centre II,Serere,HC II,,
Bugondo Health Centre III,Serere,HC II,,
Kadungulu Health Centre III,Serere,HC II,,
Kagwara Health Centre II,Serere,HC II,,
Kamod Health Centre II,Serere,HC II,,
Kamusala Health Centre II,Serere,HC II,,
Kateta Health Centre III,Serere,HC II,,
Kateta Moru Health Centre II,Serere,HC II,,
Kateta NGO Health Centre II,Serere,HC II,,
Kidetok Mission Health Centre III,Serere,HC II,,
Kyere Health Centre III,Serere,HC II,,
Kyere Mission Health Centre III,Serere,HC II,,
Miria Health Centre II,Serere,HC II,,
Oburin Health Centre II,Serere,HC II,,
Omagoro Health Centre II,Serere,HC II,,
Pingire Health Centre III,Serere,HC II,,
Serere Akoboi Health Centre II,Serere,HC II,,
Serere Health Centre IV,Serere,HC IV,,
St. Martins Amakio Health Centre III,Serere,HC II,,
1 Sheema South HSD Bigona Health Centre II,Sheema,HC II,,
2 Sheema South HSD Bugongi Health Centre III,Sheema,HC II,,
3 Sheema South HSD Buraro Health Centre II,Sheema,HC II,,
4 Sheema North HSD Giramatsiko Midical centre Health Centre II,Sheema,HC II,,
5 Sheema South HSD Hope Medical Centre Health Centre III,Sheema,HC II,,
7 Sheema North HSD Kabwohe Health Centre IV,Sheema,HC IV,,
8 Sheema South HSD Kanekye Medical Centre Health Centre II,Sheema,HC II,,
9 Sheema South HSD Karera Health Centre II,Sheema,HC II,,
10 Sheema South HSD Karugorora Health Centre II,Sheema,HC II,,
11 Sheema South HSD Kasaana Health Centre II,Sheema,HC II,,
13 Sheema South HSD Kasana East Health Centre II,Sheema,HC II,,
14 Sheema South HSD Kasana West Health Centre II,Sheema,HC II,,
15 Sheema South HSD Kashozi (Sheema) Health Centre II,Sheema,HC II,,
16 Sheema North HSD Kigarama Health Centre III,Sheema,HC II,,
17 Sheema North HSD Kihunda Health Centre III,Sheema,HC II,,
18 Sheema South HSD Kitagata General,Sheema,Hospital,,
19 Sheema North HSD Kitojo Community Health Centre II,Sheema,HC II,,
20 Sheema North HSD Kyabandara Health Centre II,Sheema,HC II,,
